,Total DUC,Total US RigCount,U.S. Product Supplied of Crude Oil (Thousand Barrels per Day),U.S. Crude Oil Proved Reserves (Million Barrels),U.S. Field Production of Crude Oil (Thousand Barrels),Crude oil including lease condensate production,"Petroleum and other liquids production, Mexico (thousand barrels per day)",Total Imports,Africa_Imports,Asia_Imports,South America_Imports,Europe_Imports,North America_Imports,Oceania_Imports,Total Exports,Asia_Exports,Europe_Exports,Africa_Exports,North America_Exports,South America_Exports,Oceania_Exports,NYMEX - Light Sweet Crude $/bbl,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),US Offshore
2010-07-31,,,0.0,23267.0,164234.0,2773.0,2970.0,392915.0,76014.0,63514.0,66391.0,55622.0,121996.0,1942.0,77999.0,10319.0,13077.0,2837.0,31988.0,17952.0,572.0,76.18,180332.0,16.0
2010-08-31,,,0.0,23267.0,168867.0,2803.0,2955.0,383045.0,78731.0,63900.0,62230.0,46493.0,120678.0,587.0,74719.0,13458.0,15090.0,2325.0,27373.0,14239.0,323.0,76.61,191112.0,20.0
2010-09-30,,,0.0,23267.0,168473.0,2663.0,2964.0,354677.0,76200.0,60085.0,57294.0,35319.0,115981.0,0.0,70337.0,8719.0,15869.0,3084.0,27429.0,12472.0,578.0,75.54,178304.0,15.0
2010-10-31,,,0.0,23267.0,174547.0,2733.0,2961.0,345415.0,63562.0,58550.0,56722.0,39276.0,117979.0,0.0,76880.0,8106.0,18628.0,2166.0,32587.0,13006.0,442.0,81.89,184571.0,22.0
2010-11-30,,,0.0,23267.0,167272.0,2973.0,2902.0,332884.0,55912.0,60071.0,57073.0,33602.0,118845.0,0.0,77955.0,9576.0,20112.0,1081.0,33799.0,10589.0,329.0,84.28,171709.0,20.0
2010-12-31,,,0.0,23267.0,173831.0,2963.0,2975.0,345099.0,66589.0,54072.0,54158.0,35775.0,128303.0,0.0,81965.0,13415.0,14718.0,2351.0,38727.0,11274.0,279.0,89.28,181553.0,24.0
2011-01-31,,,0.0,23267.0,170393.0,2833.0,3002.0,377114.0,67814.0,59799.0,62141.0,40998.0,136962.0,0.0,85257.0,10461.0,17511.0,1808.0,39600.0,13143.0,480.0,89.74,180251.0,26.0
2011-02-28,,1699.0,0.0,23267.0,151354.0,2783.0,2962.0,298861.0,55135.0,46329.0,48475.0,26332.0,116417.0,0.0,73766.0,11139.0,15373.0,1216.0,32505.0,10526.0,419.0,88.64,153482.0,25.0
2011-03-31,,1738.0,0.0,23267.0,174158.0,2854.0,2986.0,364400.0,63190.0,59003.0,60492.0,44873.0,131940.0,0.0,84709.0,9334.0,14894.0,2853.0,40981.0,13593.0,475.0,102.99,169831.0,28.0
2011-04-30,,1818.0,0.0,23267.0,166858.0,2854.0,2990.0,352372.0,56339.0,64946.0,60644.0,44584.0,119415.0,0.0,92143.0,9407.0,19970.0,3217.0,42543.0,15476.0,255.0,110.41,162198.0,29.0
2011-05-31,,1847.0,0.0,23267.0,174363.0,2562.0,2975.0,366004.0,58243.0,67934.0,60780.0,49781.0,123008.0,43.0,84787.0,7451.0,17272.0,1797.0,41657.0,15028.0,419.0,101.19,164039.0,35.0
2011-06-30,,1882.0,0.0,23267.0,167673.0,2670.0,2961.0,354169.0,54127.0,74982.0,58649.0,43352.0,118388.0,0.0,81474.0,9608.0,13908.0,3084.0,37503.0,14302.0,450.0,96.19,150882.0,33.0
2011-07-31,,1908.0,0.0,26544.0,168635.0,2913.0,2944.0,362220.0,59274.0,77256.0,59956.0,34675.0,124977.0,0.0,94637.0,12825.0,20567.0,2459.0,39918.0,16072.0,377.0,97.09,148861.0,37.0
2011-08-31,,1975.0,0.0,26544.0,175618.0,3073.0,2953.0,345990.0,52311.0,65870.0,61808.0,34421.0,124204.0,638.0,93075.0,13032.0,20600.0,2588.0,38075.0,15786.0,507.0,86.0,151602.0,33.0
2011-09-30,,1990.0,0.0,26544.0,168411.0,2993.0,2883.0,336767.0,42615.0,69678.0,56757.0,32650.0,129181.0,0.0,95223.0,12796.0,19836.0,2878.0,38606.0,17161.0,327.0,85.58,124788.0,31.0
2011-10-31,,2021.0,0.0,26544.0,182977.0,3062.0,2946.0,341161.0,46462.0,66833.0,59344.0,37934.0,125052.0,0.0,96327.0,12365.0,20452.0,1290.0,39509.0,19130.0,533.0,86.27,143082.0,35.0
2011-11-30,,2000.0,0.0,26544.0,181157.0,3043.0,2916.0,334689.0,45356.0,64464.0,51362.0,40309.0,126795.0,1103.0,94763.0,13361.0,15221.0,2466.0,43305.0,18300.0,387.0,97.1,138426.0,39.0
2011-12-31,,2007.0,0.0,26544.0,189487.0,3155.0,2943.0,340463.0,43605.0,64283.0,59998.0,36133.0,128041.0,1592.0,113687.0,16752.0,24858.0,4698.0,43404.0,19897.0,307.0,98.57,143471.0,42.0
2012-01-31,,2008.0,0.0,26544.0,191472.0,3108.0,2912.0,338215.0,43571.0,71031.0,52612.0,35152.0,132859.0,0.0,88958.0,10372.0,18470.0,2245.0,39757.0,15825.0,375.0,99.98,141312.0,42.0
2012-02-29,,1981.0,0.0,26544.0,181783.0,3249.0,2939.0,304201.0,32101.0,61657.0,58601.0,26528.0,124485.0,28.0,86825.0,11424.0,18911.0,943.0,38862.0,14453.0,592.0,102.33,130558.0,43.0
2012-03-31,,1979.0,0.0,26544.0,196138.0,3037.0,2957.0,328759.0,33719.0,74155.0,63228.0,29206.0,128076.0,0.0,96593.0,12011.0,18449.0,2238.0,42298.0,19262.0,269.0,106.31,142800.0,46.0
2012-04-30,,1945.0,0.0,26544.0,189601.0,3155.0,2952.0,318315.0,37767.0,74716.0,56329.0,25637.0,122513.0,0.0,98153.0,11606.0,16281.0,3153.0,40456.0,23424.0,265.0,103.38,133745.0,45.0
2012-05-31,,1983.0,0.0,26544.0,197456.0,3035.0,2944.0,344637.0,40984.0,86411.0,54718.0,35302.0,126770.0,0.0,99428.0,11545.0,18721.0,3677.0,42621.0,20598.0,418.0,94.47,130695.0,48.0
2012-06-30,,1959.0,0.0,26544.0,188262.0,3014.0,2944.0,342727.0,44390.0,78071.0,56707.0,39500.0,123202.0,540.0,96473.0,9930.0,22710.0,3036.0,40916.0,17794.0,276.0,82.59,118012.0,48.0
2012-07-31,,1924.0,0.0,30529.0,199368.0,3114.0,2920.0,334604.0,35659.0,75351.0,62762.0,34613.0,125894.0,0.0,100361.0,11281.0,19304.0,2745.0,43732.0,20023.0,591.0,87.95,128147.0,51.0
2012-08-31,,1894.0,0.0,30529.0,196867.0,3064.0,2957.0,337268.0,39871.0,75767.0,62076.0,33497.0,126022.0,0.0,95526.0,13056.0,17162.0,869.0,41323.0,20109.0,381.0,94.15,110373.0,51.0
2012-09-30,,1848.0,0.0,30529.0,197942.0,3011.0,2944.0,314256.0,38158.0,68289.0,56238.0,32498.0,118470.0,603.0,94911.0,10083.0,16262.0,2468.0,40868.0,22142.0,367.0,94.9,111143.0,50.0
2012-10-31,,1826.0,0.0,30529.0,216057.0,3173.0,2893.0,311468.0,37891.0,72904.0,49744.0,32991.0,117386.0,0.0,100897.0,12542.0,21680.0,1934.0,46634.0,16313.0,461.0,89.6,127214.0,52.0
2012-11-30,,1811.0,0.0,30529.0,212472.0,3271.0,2946.0,305442.0,32185.0,68653.0,56094.0,27479.0,120265.0,573.0,102124.0,15207.0,16924.0,1573.0,44014.0,22625.0,235.0,86.68,125639.0,50.0
2012-12-31,,1763.0,0.0,30529.0,220282.0,3427.0,2915.0,298960.0,22461.0,59598.0,54461.0,29102.0,132844.0,494.0,112717.0,15707.0,18795.0,3335.0,48189.0,23640.0,1084.0,88.24,128238.0,51.0
2013-01-31,,1753.0,0.0,30529.0,219570.0,3329.0,2953.0,312757.0,31253.0,61493.0,51709.0,25145.0,143118.0,17.0,89320.0,12960.0,9243.0,2815.0,41431.0,19582.0,537.0,94.64,124362.0,52.0
2013-02-28,,1761.0,0.0,30529.0,200071.0,3259.0,2944.0,260019.0,14747.0,57162.0,37278.0,25023.0,125687.0,0.0,91836.0,10990.0,10077.0,2142.0,45616.0,20975.0,174.0,95.43,109780.0,53.0
2013-03-31,,1748.0,0.0,30529.0,223644.0,3429.0,2895.0,295560.0,24886.0,70566.0,51661.0,30893.0,117554.0,0.0,96447.0,16947.0,13463.0,2330.0,44851.0,16626.0,375.0,93.24,118101.0,45.0
2013-04-30,,1754.0,0.0,30529.0,221205.0,3237.0,2895.0,305025.0,28404.0,60859.0,54210.0,33916.0,127203.0,210.0,97041.0,15594.0,15759.0,2175.0,42370.0,19465.0,501.0,91.85,115853.0,49.0
2013-05-31,,1771.0,0.0,30529.0,227101.0,3026.0,2878.0,315396.0,36007.0,77921.0,48952.0,34889.0,117034.0,313.0,107618.0,19579.0,18748.0,3116.0,44203.0,18971.0,198.0,94.95,114477.0,55.0
2013-06-30,,1748.0,0.0,30529.0,218314.0,3146.0,2906.0,296451.0,30457.0,69012.0,51852.0,31774.0,113307.0,0.0,107810.0,13768.0,18767.0,6319.0,39797.0,24905.0,524.0,95.61,104271.0,56.0
2013-07-31,,1776.0,0.0,33371.0,233174.0,3306.0,2875.0,319296.0,28866.0,74854.0,60378.0,31311.0,123775.0,0.0,119369.0,14295.0,19433.0,5847.0,48574.0,27636.0,450.0,104.79,110013.0,58.0
2013-08-31,,1776.0,0.0,33371.0,233562.0,3471.0,2908.0,317716.0,30671.0,77213.0,52809.0,30533.0,125978.0,66.0,115463.0,14628.0,22912.0,8089.0,42874.0,25229.0,395.0,106.62,104060.0,64.0
2013-09-30,,1744.0,0.0,33371.0,235142.0,3352.0,2911.0,301089.0,26325.0,74158.0,53085.0,27716.0,119538.0,0.0,108947.0,11013.0,28506.0,3389.0,39831.0,21406.0,502.0,106.42,108728.0,64.0
