,Total DUC,Total US RigCount,U.S. Product Supplied of Crude Oil (Thousand Barrels per Day),U.S. Crude Oil Proved Reserves (Million Barrels),U.S. Field Production of Crude Oil (Thousand Barrels),Crude oil including lease condensate production,"Petroleum and other liquids production, Mexico (thousand barrels per day)",Total Imports,Africa_Imports,Asia_Imports,South America_Imports,Europe_Imports,North America_Imports,Oceania_Imports,Total Exports,Asia_Exports,Europe_Exports,Africa_Exports,North America_Exports,South America_Exports,Oceania_Exports,NYMEX - Light Sweet Crude $/bbl,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),US Offshore
1968-05-31,,,,31377.0,285355.0,,,,,,,,,,,,,,,,,,,
1968-06-30,,,,31377.0,274320.0,,,,,,,,,,,,,,,,,,,
1968-07-31,,,,30707.0,283836.0,,,,,,,,,,,,,,,,,,,
1968-08-31,,,,30707.0,283154.0,,,,,,,,,,,,,,,,,,,
1968-09-30,,,,30707.0,267960.0,,,,,,,,,,,,,,,,,,,
1968-10-31,,,,30707.0,276396.0,,,,,,,,,,,,,,,,,,,
1968-11-30,,,,30707.0,269070.0,,,,,,,,,,,,,,,,,,,
1968-12-31,,,,30707.0,276086.0,,,,,,,,,,,,,,,,,,,
1969-01-31,,,,30707.0,275528.0,,,,,,,,,,,,,,,,,,,
1969-02-28,,,,30707.0,249984.0,,,,,,,,,,,,,,,,,,,
1969-03-31,,,,30707.0,280705.0,,,,,,,,,,,,,,,,,,,
1969-04-30,,,,30707.0,277140.0,,,,,,,,,,,,,,,,,,,
1969-05-31,,,,30707.0,290036.0,,,,,,,,,,,,,,,,,,,
1969-06-30,,,,30707.0,288935.0,,,,,,,,,,,,,,,,,,,
1969-07-31,,,,29632.0,288145.0,,,,,,,,,,,,,,,,,,,
1969-08-31,,,,29632.0,281077.0,,,,,,,,,,,,,,,,,,,
1969-09-30,,,,29632.0,278850.0,,,,,,,,,,,,,,,,,,,
1969-10-31,,,,29632.0,285603.0,,,,,,,,,,,,,,,,,,,
1969-11-30,,,,29632.0,280380.0,,,,,,,,,,,,,,,,,,,
1969-12-31,,,,29632.0,295368.0,,,,,,,,,,,,,,,,,,,
1970-01-31,,,,29632.0,293818.0,,,,,,,,,,,,,,,,,,,
1970-02-28,,,,29632.0,267960.0,,,,,,,,,,,,,,,,,,,
1970-03-31,,,,29632.0,294748.0,,,,,,,,,,,,,,,,,,,
1970-04-30,,,,29632.0,287730.0,,,,,,,,,,,,,,,,,,,
1970-05-31,,,,29632.0,295213.0,,,,,,,,,,,,,,,,,,,
1970-06-30,,,,29632.0,280770.0,,,,,,,,,,,,,,,,,,,
1970-07-31,,,,39001.0,285274.0,,,,,,,,,,,,,,,,,,,
1970-08-31,,,,39001.0,296360.0,,,,,,,,,,,,,,,,,,,
1970-09-30,,,,39001.0,295590.0,,,,,,,,,,,,,,,,,,,
1970-10-31,,,,39001.0,310403.0,,,,,,,,,,,,,,,,,,,
1970-11-30,,,,39001.0,301320.0,,,,,,,,,,,,,,,,,,,
1970-12-31,,,,39001.0,308264.0,,,,,,,,,,,,,,,,,,,
1971-01-31,,,,39001.0,299305.0,,,,,,,,,,,,,,,,,,,
1971-02-28,,,,39001.0,272412.0,,,,,,,,,,,,,,,,,,,
1971-03-31,,,,39001.0,302808.0,,,,,,,,,,,,,,,,,,,
1971-04-30,,,,39001.0,293070.0,,,,,,,,,,,,,,,,,,,
1971-05-31,,,,39001.0,298995.0,,,,,,,,,,,,,,,,,,,
1971-06-30,,,,39001.0,288120.0,,,,,,,,,,,,,,,,,,,
1971-07-31,,,,38063.0,293121.0,,,,,,,,,,,,,,,,,,,
1971-08-31,,,,38063.0,291741.0,,,,,,,,,,,,,,,,,,,
1971-09-30,,,,38063.0,274050.0,,,,,,,,,,,,,,,,,,,
1971-10-31,,,,38063.0,284022.0,,,,,,,,,,,,,,,,,,,
1971-11-30,,,,38063.0,274170.0,,,,,,,,,,,,,,,,,,,
1971-12-31,,,,38063.0,282100.0,,,,,,,,,,,,,,,,,,,
1972-01-31,,,,38063.0,282534.0,,,,,,,,,,,,,,,,,,,
1972-02-29,,,,38063.0,270744.0,,,,,,,,,,,,,,,,,,,
1972-03-31,,,,38063.0,293322.0,,,,,,,,,,,,,,,,,,,
1972-04-30,,,,38063.0,285390.0,,,,,,,,,,,,,,,,,,,
1972-05-31,,,,38063.0,298034.0,,,,,,,,,,,,,,,,,,,
1972-06-30,,,,38063.0,285660.0,,,,,,,,,,,,,,,,,,,
1972-07-31,,,,36339.0,294376.0,,,,,,,,,,,,,,,,,,,
1972-08-31,,,,36339.0,293973.0,,,,,,,,,,,,,,,,,,,
1972-09-30,,,,36339.0,285240.0,,,,,,,,,,,,,,,,,,,
1972-10-31,,,,36339.0,293930.0,,,,,,,,,,,,,,,,,,,
1972-11-30,,,,36339.0,282780.0,,,,,,,,,,,,,,,,,,,
1972-12-31,,,,36339.0,289385.0,,,,,,,,,,,,,,,,,,,
1973-01-31,,,,36339.0,284454.0,1778.0,,,,,,,,,,,,,,,,,,
1973-02-28,,,,36339.0,263066.0,1792.0,,,,,,,,,,,,,,,,,,
1973-03-31,,,,36339.0,287430.0,1826.0,,,,,,,,,,,,,,,,,,
1973-04-30,,,,36339.0,278757.0,1787.0,,,,,,,,,,,,,,,,,,
1973-05-31,,,,36339.0,287134.0,1721.0,,,,,,,,,,,,,,,,,,
1973-06-30,,,,36339.0,276418.0,1889.0,,,,,,,,,,,,,,,,,,
1973-07-31,,,,35300.0,285731.0,1803.0,,,,,,,,,,,,,,,,,,
1973-08-31,,,,35300.0,284225.0,1799.0,,,,,,,,,,,,,,,,,,
1973-09-30,,,,35300.0,271959.0,1735.0,,,,,,,,,,,,,,,,,,
1973-10-31,,,,35300.0,285940.0,1802.0,,,,,,,,,,,,,,,,,,
1973-11-30,,,,35300.0,274829.0,1821.0,,,,,,,,,,,,,,,,,,
1973-12-31,,,,35300.0,280960.0,1825.0,,,,,,,,,,,,,,,,,,
1974-01-31,,,,35300.0,276950.0,1676.0,,,,,,,,,,,,,,,,,,
1974-02-28,,,,35300.0,255982.0,1675.0,,,,,,,,,,,,,,,,,,
1974-03-31,,,,35300.0,277927.0,1709.0,,,,,,,,,,,,,,,,,,
1974-04-30,,,,35300.0,268619.0,1644.0,,,,,,,,,,,,,,,,,,
1974-05-31,,,,35300.0,276228.0,1573.0,,,,,,,,,,,,,,,,,,
1974-06-30,,,,35300.0,263407.0,1528.0,,,,,,,,,,,,,,,,,,
1974-07-31,,,,32250.0,272184.0,1522.0,,,,,,,,,,,,,,,,,,
1974-08-31,,,,32250.0,269665.0,1493.0,,,,,,,,,,,,,,,,,,
1974-09-30,,,,32250.0,253288.0,1467.0,,,,,,,,,,,,,,,,,,
1974-10-31,,,,32250.0,266949.0,1451.0,,,,,,,,,,,,,,,,,,
1974-11-30,,,,32250.0,257064.0,1334.0,,,,,,,,,,,,,,,,,,
1974-12-31,,,,32250.0,264322.0,1544.0,,,,,,,,,,,,,,,,,,
1975-01-31,,,,32250.0,262104.0,1558.0,,,,,,,,,,,,,,,,,,
1975-02-28,,,,32250.0,240552.0,1469.0,,,,,,,,,,,,,,,,,,
1975-03-31,,,,32250.0,263297.0,1352.0,,,,,,,,,,,,,,,,,,
1975-04-30,,,,32250.0,253698.0,1197.0,,,,,,,,,,,,,,,,,,
1975-05-31,,,,32250.0,259742.0,1197.0,,,,,,,,,,,,,,,,,,
1975-06-30,,,,32250.0,252624.0,1468.0,,,,,,,,,,,,,,,,,,
1975-07-31,,,,32682.0,258408.0,1468.0,,,,,,,,,,,,,,,,,,
1975-08-31,,,,32682.0,255712.0,1472.0,,,,,,,,,,,,,,,,,,
1975-09-30,,,,32682.0,248389.0,1527.0,,,,,,,,,,,,,,,,,,
1975-10-31,,,,32682.0,258057.0,1434.0,,,,,,,,,,,,,,,,,,
1975-11-30,,,,32682.0,248336.0,1451.0,,,,,,,,,,,,,,,,,,
1975-12-31,,,,32682.0,255860.0,1571.0,,,,,,,,,,,,,,,,,,
1976-01-31,,,,32682.0,255185.0,1288.0,,,,,,,,,,,,,,,,,,
1976-02-29,,,,32682.0,238705.0,1217.0,,,,,,,,,,,,,,,,,,
1976-03-31,,,,32682.0,255198.0,1203.0,,,,,,,,,,,,,,,,,,
1976-04-30,,,,32682.0,242310.0,1117.0,,,,,,,,,,,,,,,,,,
1976-05-31,,,,32682.0,251860.0,1328.0,,,,,,,,,,,,,,,,,,
1976-06-30,,,,32682.0,242833.0,1451.0,,,,,,,,,,,,,,,,,,
1976-07-31,,,,30942.0,251942.0,1259.0,,,,,,,,,,,,,,,,,,
1976-08-31,,,,30942.0,251429.0,1244.0,,,,,,,,,,,,,,,,,,
1976-09-30,,,,30942.0,244489.0,1262.0,,,,,,,,,,,,,,,,,,
1976-10-31,,,,30942.0,249962.0,1360.0,,,,,,,,,,,,,,,,,,
1976-11-30,,,,30942.0,242388.0,1347.0,,,,,,,,,,,,,,,,,,
1976-12-31,,,,30942.0,249879.0,1683.0,,,,,,,,,,,,,,,,,,
1977-01-31,,,,30942.0,243478.0,1289.0,,,,,,,,,,,,,,,,,,
1977-02-28,,,,30942.0,227890.0,1348.0,,,,,,,,,,,,,,,,,,
1977-03-31,,,,30942.0,250778.0,1329.0,,,,,,,,,,,,,,,,,,
1977-04-30,,,,30942.0,244347.0,1223.0,,,,,,,,,,,,,,,,,,
1977-05-31,,,,30942.0,250317.0,1312.0,,,,,,,,,,,,,,,,,,
1977-06-30,,,,30942.0,243058.0,1411.0,,,,,,,,,,,,,,,,,,
1977-07-31,,,,31780.0,251244.0,1162.0,,,,,,,,,,,,,,,,,,
1977-08-31,,,,31780.0,257510.0,1325.0,,,,,,,,,,,,,,,,,,
1977-09-30,,,,31780.0,254392.0,1244.0,,,,,,,,,,,,,,,,,,
1977-10-31,,,,31780.0,265776.0,1242.0,,,,,,,,,,,,,,,,,,
1977-11-30,,,,31780.0,257378.0,1431.0,,,,,,,,,,,,,,,,,,
1977-12-31,,,,31780.0,263097.0,1541.0,,,,,,,,,,,,,,,,,,
1978-01-31,,,,31780.0,259150.0,1254.0,,,,,,,,,,,,,,,,,,
1978-02-28,,,,31780.0,234544.0,1338.0,,,,,,,,,,,,,,,,,,
1978-03-31,,,,31780.0,270324.0,1333.0,,,,,,,,,,,,,,,,,,
1978-04-30,,,,31780.0,264526.0,1124.0,,,,,,,,,,,,,,,,,,
1978-05-31,,,,31780.0,273583.0,1179.0,,,,,,,,,,,,,,,,,,
1978-06-30,,,,31780.0,264974.0,1524.0,,,,,,,,,,,,,,,,,,
1978-07-31,,,,31355.0,271442.0,1160.0,,,,,,,,,,,,,,,,,,
1978-08-31,,,,31355.0,271502.0,1283.0,,,,,,,,,,,,,,,,,,
1978-09-30,,,,31355.0,264010.0,1238.0,,,,,,,,,,,,,,,,,,
1978-10-31,,,,31355.0,273420.0,1363.0,,,,,,,,,,,,,,,,,,
1978-11-30,,,,31355.0,262233.0,1490.0,,,,,,,,,,,,,,,,,,
1978-12-31,,,,31355.0,268508.0,1512.0,,,,,,,,,,,,,,,,,,
1979-01-31,,,,31355.0,262716.0,1437.0,,,,,,,,,,,,,,,,,,
1979-02-28,,,,31355.0,238710.0,1559.0,,,,,,,,,,,,,,,,,,
1979-03-31,,,,31355.0,266635.0,1544.0,,,,,,,,,,,,,,,,,,
1979-04-30,,,,31355.0,256593.0,1499.0,,,,,,,,,,,,,,,,,,
1979-05-31,,,,31355.0,266631.0,1451.0,,,,,,,,,,,,,,,,,,
1979-06-30,,,,31355.0,252949.0,1516.0,,,,,,,,,,,,,,,,,,
1979-07-31,,,,29810.0,259278.0,1507.0,,,,,,,,,,,,,,,,,,
1979-08-31,,,,29810.0,264981.0,1438.0,,,,,,,,,,,,,,,,,,
1979-09-30,,,,29810.0,255693.0,1478.0,,,,,,,,,,,,,,,,,,
1979-10-31,,,,29810.0,267256.0,1534.0,,,,,,,,,,,,,,,,,,
1979-11-30,,,,29810.0,262818.0,1513.0,,,,,,,,,,,,,,,,,,
1979-12-31,,,,29810.0,267050.0,1532.0,,,,,,,,,,,,,,,,,,
1980-01-31,,,,29810.0,268940.0,,,,,,,,,,,,,,,,,,,
1980-02-29,,,,29810.0,252431.0,,,,,,,,,,,,,,,,,,,
1980-03-31,,,,29810.0,269650.0,,,,,,,,,,,,,,,,,,,
1980-04-30,,,,29810.0,260541.0,,,,,,,,,,,,,,,,,,,
1980-05-31,,,,29810.0,267684.0,,,,,,,,,,,,,,,,,,,
1980-06-30,,,,29810.0,256619.0,,,,,,,,,,,,,,,,,,,
1980-07-31,,,,29805.0,264964.0,,,,,,,,,,,,,,,,,,,
1980-08-31,,,,29805.0,260841.0,,,,,,,,,,,,,,,,,,,
1980-09-30,,,,29805.0,258577.0,,,,,,,,,,,,,,,,,,,
1980-10-31,,,,29805.0,264489.0,,,,,,,,,,,,,,,,,,,
1980-11-30,,,,29805.0,254852.0,,,,,,,,,,,,,,,,,,,
1980-12-31,,,,29805.0,266777.0,,,,,,,,,,,,,,,,,,,
1981-01-31,,,43.0,29805.0,264736.0,,,211651.0,0.0,0.0,0.0,0.0,0.0,0.0,17294.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1981-02-28,,,55.0,29805.0,240914.0,,,189623.0,0.0,0.0,0.0,0.0,0.0,0.0,15936.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1981-03-31,,,57.0,29805.0,267003.0,,,186874.0,0.0,0.0,0.0,0.0,0.0,0.0,18169.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1981-04-30,,,59.0,29805.0,256708.0,,,170038.0,0.0,0.0,0.0,0.0,0.0,0.0,17093.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1981-05-31,,,59.0,29805.0,263541.0,,,179033.0,0.0,0.0,0.0,0.0,0.0,0.0,18448.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1981-06-30,,,59.0,29805.0,258859.0,,,163061.0,0.0,0.0,0.0,0.0,0.0,0.0,12611.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1981-07-31,,,59.0,29426.0,263498.0,,,180306.0,0.0,0.0,0.0,0.0,0.0,0.0,17713.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1981-08-31,,,59.0,29426.0,266069.0,,,178783.0,0.0,0.0,0.0,0.0,0.0,0.0,19961.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1981-09-30,,,61.0,29426.0,258120.0,,,190939.0,0.0,0.0,0.0,0.0,0.0,0.0,15578.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1981-10-31,,,62.0,29426.0,265450.0,,,184739.0,0.0,0.0,0.0,0.0,0.0,0.0,22876.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1981-11-30,,,64.0,29426.0,257579.0,,,172239.0,0.0,0.0,0.0,0.0,0.0,0.0,21023.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1981-12-31,,,63.0,29426.0,266147.0,,,181133.0,0.0,0.0,0.0,0.0,0.0,0.0,20322.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1982-01-31,,,63.0,29426.0,263793.0,,,165300.0,0.0,0.0,0.0,0.0,0.0,0.0,25693.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1982-02-28,,,64.0,29426.0,243661.0,,,134588.0,0.0,0.0,0.0,0.0,0.0,0.0,22507.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1982-03-31,,,63.0,29426.0,268687.0,,,139009.0,0.0,0.0,0.0,0.0,0.0,0.0,27343.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1982-04-30,,,65.0,29426.0,257738.0,,,131341.0,0.0,0.0,0.0,0.0,0.0,0.0,23565.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1982-05-31,,,62.0,29426.0,269186.0,,,149155.0,0.0,0.0,0.0,0.0,0.0,0.0,24908.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1982-06-30,,,60.0,29426.0,259383.0,,,159813.0,0.0,0.0,0.0,0.0,0.0,0.0,21093.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1982-07-31,,,60.0,27858.0,268398.0,,,182581.0,0.0,0.0,0.0,0.0,0.0,0.0,22972.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1982-08-31,,,57.0,27858.0,267643.0,,,162557.0,0.0,0.0,0.0,0.0,0.0,0.0,26586.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1982-09-30,,,56.0,27858.0,261028.0,,,162429.0,0.0,0.0,0.0,0.0,0.0,0.0,23717.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1982-10-31,,,51.0,27858.0,269745.0,,,164483.0,0.0,0.0,0.0,0.0,0.0,0.0,28890.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1982-11-30,,,50.0,27858.0,260918.0,,,172330.0,0.0,0.0,0.0,0.0,0.0,0.0,23582.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1982-12-31,,,52.0,27858.0,266535.0,,,142772.0,0.0,0.0,0.0,0.0,0.0,0.0,26657.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1983-01-31,,,71.0,27858.0,269604.0,,,137570.0,0.0,0.0,0.0,0.0,0.0,0.0,30174.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1983-02-28,,,71.0,27858.0,245237.0,,,104328.0,0.0,0.0,0.0,0.0,0.0,0.0,24230.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1983-03-31,,,70.0,27858.0,269706.0,,,114375.0,0.0,0.0,0.0,0.0,0.0,0.0,24824.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1983-04-30,,,68.0,27858.0,263269.0,,,141812.0,0.0,0.0,0.0,0.0,0.0,0.0,24272.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1983-05-31,,,63.0,27858.0,267575.0,,,157761.0,0.0,0.0,0.0,0.0,0.0,0.0,26297.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1983-06-30,,,64.0,27858.0,260014.0,,,159786.0,0.0,0.0,0.0,0.0,0.0,0.0,23221.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1983-07-31,,,65.0,27735.0,267717.0,,,177966.0,0.0,0.0,0.0,0.0,0.0,0.0,17711.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1983-08-31,,,64.0,27735.0,269053.0,,,190940.0,0.0,0.0,0.0,0.0,0.0,0.0,20558.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1983-09-30,,,66.0,27735.0,263530.0,,,183883.0,0.0,0.0,0.0,0.0,0.0,0.0,20531.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1983-10-31,,,63.0,27735.0,271890.0,,,163007.0,0.0,0.0,0.0,0.0,0.0,0.0,17853.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1983-11-30,,,64.0,27735.0,263111.0,,,156297.0,0.0,0.0,0.0,0.0,0.0,0.0,20379.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1983-12-31,,,67.0,27735.0,260293.0,,,156018.0,0.0,0.0,0.0,0.0,0.0,0.0,19803.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1984-01-31,,,64.0,27735.0,274902.0,1303.0,,168332.0,0.0,0.0,0.0,0.0,0.0,0.0,17832.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1984-02-29,,,65.0,27735.0,257357.0,1303.0,,165090.0,0.0,0.0,0.0,0.0,0.0,0.0,16874.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1984-03-31,,,62.0,27735.0,268829.0,1303.0,,164337.0,0.0,0.0,0.0,0.0,0.0,0.0,26044.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1984-04-30,,,64.0,27735.0,265872.0,1303.0,,161169.0,0.0,0.0,0.0,0.0,0.0,0.0,19651.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1984-05-31,,,62.0,27735.0,277616.0,1303.0,,185337.0,0.0,0.0,0.0,0.0,0.0,0.0,23756.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1984-06-30,,,61.0,27735.0,265570.0,1303.0,,164466.0,0.0,0.0,0.0,0.0,0.0,0.0,25924.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1984-07-31,,,60.0,28446.0,275432.0,1303.0,,167624.0,0.0,0.0,0.0,0.0,0.0,0.0,16626.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1984-08-31,,,63.0,28446.0,273091.0,1303.0,,156373.0,0.0,0.0,0.0,0.0,0.0,0.0,22691.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1984-09-30,,,66.0,28446.0,269798.0,1303.0,,157547.0,0.0,0.0,0.0,0.0,0.0,0.0,19915.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1984-10-31,,,69.0,28446.0,276075.0,1303.0,,179144.0,0.0,0.0,0.0,0.0,0.0,0.0,18582.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1984-11-30,,,62.0,28446.0,269357.0,1303.0,,167606.0,0.0,0.0,0.0,0.0,0.0,0.0,25626.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1984-12-31,,,64.0,28446.0,275797.0,1303.0,,152910.0,0.0,0.0,0.0,0.0,0.0,0.0,30557.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1985-01-31,,,63.0,28446.0,270926.0,1301.0,,136866.0,0.0,0.0,0.0,0.0,0.0,0.0,24544.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1985-02-28,,,63.0,28446.0,252695.0,1301.0,,109568.0,0.0,0.0,0.0,0.0,0.0,0.0,23993.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1985-03-31,,,69.0,28446.0,281943.0,1301.0,,144861.0,0.0,0.0,0.0,0.0,0.0,0.0,21499.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1985-04-30,,,67.0,28446.0,271299.0,1301.0,,159483.0,0.0,0.0,0.0,0.0,0.0,0.0,22905.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1985-05-31,,,65.0,28446.0,283093.0,1301.0,,179065.0,0.0,0.0,0.0,0.0,0.0,0.0,21867.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1985-06-30,,,56.0,28446.0,270653.0,1301.0,,147878.0,0.0,0.0,0.0,0.0,0.0,0.0,20762.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1985-07-31,,,55.0,28416.0,277410.0,1301.0,,153437.0,0.0,0.0,0.0,0.0,0.0,0.0,20932.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1985-08-31,,,55.0,28416.0,272881.0,1301.0,,146248.0,0.0,0.0,0.0,0.0,0.0,0.0,23212.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1985-09-30,,,55.0,28416.0,268610.0,1301.0,,149113.0,0.0,0.0,0.0,0.0,0.0,0.0,24180.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1985-10-31,,,55.0,28416.0,278068.0,1301.0,,158754.0,0.0,0.0,0.0,0.0,0.0,0.0,21397.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1985-11-30,,,59.0,28416.0,267059.0,1301.0,,183483.0,0.0,0.0,0.0,0.0,0.0,0.0,31093.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1985-12-31,,,63.0,28416.0,279916.0,1301.0,,180750.0,0.0,0.0,0.0,0.0,0.0,0.0,28684.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1986-01-31,,,57.0,28416.0,283248.0,1348.0,,172754.0,0.0,0.0,0.0,0.0,0.0,0.0,26620.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1986-02-28,,,56.0,28416.0,256855.0,1280.0,,130941.0,0.0,0.0,0.0,0.0,0.0,0.0,24529.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1986-03-31,,,52.0,28416.0,279413.0,1225.0,,146074.0,0.0,0.0,0.0,0.0,0.0,0.0,22684.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1986-04-30,,,51.0,28416.0,265917.0,1185.0,,163183.0,0.0,0.0,0.0,0.0,0.0,0.0,25500.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1986-05-31,,,49.0,28416.0,273964.0,1232.0,,198397.0,0.0,0.0,0.0,0.0,0.0,0.0,22432.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1986-06-30,,,52.0,28416.0,258700.0,1336.0,,205436.0,0.0,0.0,0.0,0.0,0.0,0.0,19246.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1986-07-31,,,51.0,26889.0,268448.0,1328.0,,215191.0,0.0,0.0,0.0,0.0,0.0,0.0,21245.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1986-08-31,,,48.0,26889.0,259580.0,1332.0,,222210.0,0.0,0.0,0.0,0.0,0.0,0.0,26903.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1986-09-30,,,45.0,26889.0,249843.0,1357.0,,212690.0,0.0,0.0,0.0,0.0,0.0,0.0,21428.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1986-10-31,,,41.0,26889.0,260984.0,1328.0,,199241.0,0.0,0.0,0.0,0.0,0.0,0.0,25747.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1986-11-30,,,41.0,26889.0,252374.0,1240.0,,197753.0,0.0,0.0,0.0,0.0,0.0,0.0,24622.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1986-12-31,,,42.0,26889.0,258926.0,1242.0,,207712.0,0.0,0.0,0.0,0.0,0.0,0.0,25415.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1987-01-31,,,41.0,26889.0,262888.0,1265.0,,196948.0,0.0,0.0,0.0,0.0,0.0,0.0,21791.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1987-02-28,,,41.0,26889.0,234880.0,1245.0,,167565.0,0.0,0.0,0.0,0.0,0.0,0.0,27358.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1987-03-31,,,39.0,26889.0,262398.0,1277.0,,179612.0,0.0,0.0,0.0,0.0,0.0,0.0,22316.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1987-04-30,,,41.0,26889.0,254945.0,1289.0,,177335.0,0.0,0.0,0.0,0.0,0.0,0.0,26115.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1987-05-31,,,42.0,26889.0,258426.0,1276.0,,188251.0,0.0,0.0,0.0,0.0,0.0,0.0,20640.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1987-06-30,,,36.0,26889.0,248356.0,1351.0,,203061.0,0.0,0.0,0.0,0.0,0.0,0.0,20078.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1987-07-31,,,32.0,27256.0,255782.0,1386.0,,235219.0,0.0,0.0,0.0,0.0,0.0,0.0,21085.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1987-08-31,,,31.0,27256.0,254508.0,1407.0,,231066.0,0.0,0.0,0.0,0.0,0.0,0.0,20586.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1987-09-30,,,28.0,27256.0,246163.0,1414.0,,215339.0,0.0,0.0,0.0,0.0,0.0,0.0,23865.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1987-10-31,,,25.0,27256.0,259272.0,1436.0,,219093.0,0.0,0.0,0.0,0.0,0.0,0.0,20016.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1987-11-30,,,25.0,27256.0,251915.0,1444.0,,212031.0,0.0,0.0,0.0,0.0,0.0,0.0,22105.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1987-12-31,,,31.0,27256.0,257844.0,1449.0,,211838.0,0.0,0.0,0.0,0.0,0.0,0.0,32777.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
